id,actual,pred
12686241,45.0,63.803
21718529,100.0,72.675
33197108,215.0,244.031
12433898,47.0,64.393
32722219,27.0,50.989
38193205,275.0,191.402
23290010,68.0,57.2
29490579,60.0,66.692
9794364,100.0,97.021
32613384,106.0,97.538
38285454,71.0,68.074
10154762,65.0,71.552
18198575,65.0,80.838
21181643,99.0,108.986
21982333,50.0,65.256
28405083,500.0,79.888
3488283,75.0,95.413
27782948,66.0,63.522
20679396,80.0,88.219
24369857,124.0,131.676
27528267,79.0,81.562
1703834,64.0,70.079
36906533,50.0,54.985
8164402,159.0,167.106
65615,130.0,139.665
30935446,83.0,79.534
37585373,200.0,212.519
1814010,175.0,220.831
33740789,51.0,87.875
5860123,189.0,206.185
2863932,250.0,227.297
28958489,50.0,70.587
17432700,109.0,144.658
4694480,250.0,189.133
38460405,80.0,65.103
38238655,255.0,278.587
20194665,39.0,62.119
39673143,150.0,157.339
12624890,39.0,75.809
31113262,132.0,186.165
19952747,45.0,52.776
4885595,99.0,114.733
38930954,150.0,124.866
14354698,49.0,99.907
22401504,99.0,132.199
12092786,81.0,113.826
10460113,59.0,66.029
39953346,200.0,193.843
40294601,70.0,71.81
39053981,175.0,198.649
39227449,139.0,130.013
29959489,80.0,117.186
1209069,80.0,61.051
30255002,210.0,227.11
31057394,60.0,57.706
17158871,270.0,208.897
38841384,60.0,62.035
15216398,50.0,57.623
2175827,75.0,75.931
33279209,156.0,309.736
34360431,59.0,67.067
11100490,500.0,364.964
35577642,150.0,110.256
38496782,90.0,168.797
30130572,75.0,56.202
33348993,86.0,86.721
4428906,380.0,283.926
34997666,56.0,62.449
32634041,147.0,157.87
34453822,100.0,132.404
32048047,150.0,108.88
6014926,140.0,127.839
34516167,105.0,84.998
18449954,90.0,98.398
1112407,158.0,147.521
13642073,110.0,130.675
32748329,80.0,95.846
21980586,100.0,116.772
27279139,175.0,185.541
15843671,85.0,105.848
13140220,138.0,149.604
17757976,325.0,198.267
3565617,175.0,211.051
15054617,43.0,53.428
19619177,100.0,109.368
14670215,42.0,61.723
6766259,75.0,78.803
20728525,150.0,170.25
101053,100.0,261.002
24160395,200.0,155.365
31043762,55.0,65.904
29294153,47.0,41.742
20231046,157.0,175.745
32676180,100.0,108.38
37816237,57.0,54.569
14807332,180.0,118.849
17515734,81.0,62.81
23729632,75.0,58.982
38703550,59.0,77.254
17137626,57.0,68.753
37629191,315.0,300.683
37125900,56.0,63.6
39090973,50.0,65.046
26035350,76.0,69.857
12702755,38.0,38.608
21566909,235.0,181.849
38604348,72.0,128.849
14111626,249.0,191.934
14994367,175.0,160.193
30948025,200.0,86.627
67397,122.0,93.96
27727442,60.0,72.431
23311118,60.0,101.779
27461602,350.0,302.831
31050262,55.0,94.164
29489295,150.0,154.62
55982,68.0,68.728
39352577,155.0,203.761
3870158,145.0,146.057
33151677,140.0,112.651
31035022,155.0,180.018
24441912,175.0,171.394
39780120,100.0,98.927
28184792,39.0,58.878
12171671,85.0,97.157
28611623,53.0,66.842
40054420,175.0,300.7
5717355,90.0,106.261
489365,168.0,146.206
36427954,80.0,56.142
25606022,150.0,179.386
28367094,65.0,61.555
13276227,110.0,74.374
39138267,110.0,210.048
26063550,65.0,60.037
34687035,37.0,58.611
13536155,74.0,73.107
1712660,89.0,80.201
7024138,222.0,235.353
20202971,175.0,170.909
23632578,185.0,186.893
4218129,59.0,72.898
30391061,150.0,126.78
35507424,290.0,203.601
38961476,26.0,29.009
34222262,215.0,204.55
39954995,50.0,71.598
4538012,85.0,89.03
28967484,39.0,70.574
1917872,450.0,304.249
34742861,85.0,97.279
9875791,101.0,134.229
35862574,170.0,182.298
11872337,99.0,156.214
18291430,44.0,60.976
21908120,119.0,131.858
32225195,186.0,183.475
18148158,95.0,104.632
39513026,90.0,120.705
36504146,70.0,67.555
25537456,165.0,197.224
37853465,79.0,186.811
10790350,87.0,84.033
38186407,375.0,247.847
5066813,139.0,183.329
19309279,69.0,108.469
32664528,55.0,63.428
15058410,65.0,66.989
37732641,119.0,145.202
2254582,219.0,149.221
29760102,230.0,193.074
27991020,200.0,71.995
7969111,135.0,116.406
6639120,140.0,119.001
40378832,149.0,217.557
6114353,89.0,107.299
28259702,52.0,70.487
2755909,59.0,65.114
39388423,44.0,68.083
32938308,100.0,106.816
19099537,100.0,114.127
37123354,190.0,272.258
28052281,85.0,79.073
2151479,117.0,114.951
31800955,155.0,154.292
35269083,120.0,110.586
6865662,245.0,340.317
31707882,285.0,179.923
16067542,100.0,96.691
37748431,205.0,211.093
37738697,52.0,53.689
32234672,125.0,123.278
31881804,44.0,62.155
166172,60.0,77.552
39387490,60.0,68.231
33427025,73.0,68.82
32531001,175.0,137.457
11627123,28.0,43.677
7789850,80.0,73.328
19542512,70.0,104.755
30141411,50.0,74.677
40139029,180.0,163.26
3985673,300.0,211.971
35459328,305.0,241.14
3039110,50.0,55.262
24118031,95.0,179.584
9506014,300.0,303.02
20812587,110.0,86.013
31057368,250.0,172.136
26603929,52.0,77.862
30002830,24.0,30.343
39422869,50.0,77.106
26500087,139.0,113.393
22617077,120.0,173.459
33473838,165.0,165.859
35379899,100.0,108.568
39267856,160.0,80.29
28298437,75.0,63.451
35254823,200.0,225.5
39927626,60.0,62.433
13384425,128.0,223.776
10847901,68.0,64.581
