"airnbn.test.id" "airnbn.test.price" "exp.predTest." "residuals"
39253052 100 99.68396407513 0.316035924870036
9824042 69 175.488752074905 -106.488752074905
29012098 40 81.3527957586503 -41.3527957586503
13192379 40 101.743462251148 -61.7434622511485
32844370 169 184.731486580005 -15.7314865800048
36476256 70 84.283864955272 -14.283864955272
38087804 80 91.5944109481038 -11.5944109481038
32568567 236 175.488752074905 60.5112479250951
22075971 57 144.099440808782 -87.0994408087821
25666271 99 172.755037472814 -73.7550374728142
25725858 75 98.4163316087597 -23.4163316087597
33973347 90 131.987861566955 -41.9878615669551
21344179 160 162.630480953036 -2.63048095303554
22985840 65 81.5189971393372 -16.5189971393372
30319831 80 144.099440808782 -64.0994408087821
30274568 80 101.534302375427 -21.5343023754275
10634636 60 88.3295931885086 -28.3295931885086
72265 59 119.192663471529 -60.1926634715287
39650329 130 149.82853562074 -19.8285356207402
874683 62 85.2369124426304 -23.2369124426304
20947437 168 194.445859406327 -26.4458594063265
8615062 239 209.476304268945 29.5236957310552
23014432 150 119.591121161893 30.4088788381067
296361 55 74.8119777595476 -19.8119777595476
24201129 250 191.530793876903 58.4692061230967
34678944 85 185.003367514142 -100.003367514142
32408593 62 135.920440463862 -73.9204404638618
17106705 160 105.397160363272 54.6028396367277
3840541 150 197.459440816851 -47.4594408168514
2635078 235 133.835335615877 101.164664384123
7547536 210 191.530793876903 18.4692061230967
11966139 225 191.530793876903 33.4692061230967
457829 210 219.69900607964 -9.69900607964021
38839128 250 165.139630560351 84.8603694396489
34568097 150 184.731486580005 -34.7314865800048
27657263 65 99.4115653876889 -34.4115653876889
30594607 160 165.012628621276 -5.01262862127598
30975764 230 259.18636610489 -29.1863661048898
33378475 50 84.1505804123154 -34.1505804123154
22226558 150 128.708335636282 21.2916643637181
31055896 75 92.0491162862736 -17.0491162862736
38626897 200 196.247597904661 3.75240209533882
33766115 170 234.508530736163 -64.5085307361634
26632917 125 116.369731633825 8.6302683661746
16454200 35 75.287122753742 -40.287122753742
36729458 145 213.160523375688 -68.1605233756876
36801374 55 85.2369124426304 -30.2369124426304
15395942 79 95.4226453973755 -16.4226453973755
33845393 65 89.7030900760398 -24.7030900760398
12902256 72 162.630480953036 -90.6304809530355
21781515 110 133.436077568713 -23.4360775687125
2071420 199 191.530793876903 7.46920612309665
11754456 165 213.160523375688 -48.1605233756876
12284280 140 127.401445052131 12.5985549478691
18897119 60 94.3263176756451 -34.3263176756451
34481828 199 138.082423453031 60.9175765469687
16382035 190 209.476304268945 -19.4763042689448
38103228 102 123.343042825094 -21.343042825094
16417215 47 98.9088955819464 -51.9088955819464
3666653 170 128.891457665555 41.1085423344447
32990282 80 91.993357897709 -11.993357897709
16649773 100 120.354946306438 -20.354946306438
3944625 99 157.55435703227 -58.5543570322704
37528925 67 123.343042825094 -56.343042825094
36425863 129 147.608220877458 -18.6082208774577
35487783 119 155.149798002145 -36.1497980021452
37563649 115 207.314158287904 -92.3141582879041
22785118 125 119.591121161893 5.40887883810667
27526619 159 179.050010258355 -20.0500102583547
28692081 65 86.5586543127912 -21.5586543127912
38725189 99 152.321598737337 -53.3215987373374
33746705 60 113.901712787017 -53.901712787017
2178294 140 144.099440808782 -4.09944080878208
26440793 100 110.176993080715 -10.1769930807149
25817508 85 90.8830241228016 -5.88302412280157
37017425 299 299.07354979701 -0.0735497970104575
21722921 60 119.192663471529 -59.1926634715287
596448 129 157.55435703227 -28.5543570322704
25755215 155 161.319191981659 -6.31919198165858
26249499 150 172.755037472814 -22.7550374728142
34737337 69 96.2779712858928 -27.2779712858928
15550900 190 181.5498891207 8.45011087929953
21634979 400 789.831303039865 -389.831303039865
3042553 77 162.630480953036 -85.6304809530355
21265363 231 246.218404802789 -15.2184048027886
35379267 295 262.532085335186 32.4679146648136
14724181 105 115.363150673453 -10.3631506734534
