id,actual,pred
34912334,85,108.51
19862234,149,135.144
30795672,29,54.615
27167258,230,224.117
30296033,47,66.822
16547073,200,200.119
2269104,75,68.277
29517769,62,58.669
34089856,109,193.561
11542467,150,186.946
28693418,200,152.891
32637721,95,71.212
21147943,65,50.561
23012588,65,67.301
30981877,65,61.566
19532789,95,142.059
28690074,90,89.051
3012871,165,156.097
34042443,49,64.869
19135548,128,119.696
26594677,181,198.458
894015,107,164.437
27758379,290,291.738
36134587,58,53.647
26981567,139,137.33
594020,55,63.506
35466334,45,63.209
33581628,160,153.808
29528574,60,67.035
18226037,75,71.412
37978325,33,51.821
6051044,59,52.073
25245882,175,145.744
68403,145,121.698
30089810,199,118.048
15149560,120,93.274
21229168,250,209.828
30676992,100,113.555
34366162,128,109.31
21247455,38,75.051
35193203,100,114.91
36845498,65,69.599
7453537,70,66.124
36267023,85,141.842
38650345,70,78.419
19588726,75,61.617
23614417,200,209.055
1808550,75,67.032
9486111,275,219.574
37447932,46,73.643
5363874,250,210.983
33788019,115,168.426
39803164,99,175.793
21864653,50,56.574
1885826,125,183.781
40028728,95,211.585
2318157,95,110.456
36767819,75,62.851
29585263,150,63.91
6092865,82,92.953
190968,215,172.846
29127613,60,62.387
15943475,255,225.539
28610567,65,64.17
28867577,180,147.717
31517652,54,64.46
29654002,95,137.727
21513143,48,54.276
26557068,300,181.681
28964397,65,98.928
13215481,53,60.473
1401826,100,115.767
22617077,120,161.834
39091248,150,135.874
16260496,52,110.647
4473156,165,179.021
9775146,128,185.385
36971881,200,108.394
38731511,65,67.676
40135618,80,164.622
21696833,125,157.949
32421217,175,125.552
30744543,120,247.982
401836,300,293.942
9175459,180,187.727
38555507,480,361.71
32602726,89,74.95
17278544,240,168.666
34948758,190,195.338
38586165,35,42.889
37691827,283,287.962
34545971,275,188.757
24234359,95,230.74
13375898,48,70.566
37125335,500,237.819
39299540,220,200.755
26224149,75,63.074
6014926,140,131.803
38238655,255,257.996
10070294,55,60.942
39601518,100,74.378
33586112,75,63.897
4688418,99,162.293
35845267,125,107.312
27596820,36,36.843
13208685,131,171.406
32416142,179,156.396
25350875,140,211.771
38327819,70,87.973
27336179,35,53.28
321136,135,109.764
10085478,299,168.309
38425543,47,54.363
18632502,125,105.997
25342124,85,117.218
20210285,45,59.837
18736455,137,174.475
27002590,75,75.887
10731317,40,79.251
34535390,199,200.104
27332332,65,57.972
19701913,102,134.178
7322,120,140.508
35711006,102,64.041
16004740,265,289.639
21173134,250,268.053
27468927,150,99.624
9900885,160,137.959
2863932,250,222.846
40281351,75,74.783
37837206,115,109.808
2487851,90,72.319
29037276,45,65.695
14698446,50,68.018
13615270,160,144.099
18286212,200,108.329
